Name,City,State,Status
LONE STAR DIAMONDS CHAPTER OF THE DAUGHTERS OF THE REPUBLIC OF TEXAS,JACKSONVILLE,AR,Good Standing
"LOVELY DAUGHTERS, INC",FORT SMITH,AR,Not Current
"MARY CLARE'S DAUGHTERS, LLC",SILOAM SPRINGS,AR,Revoked
MCGINNIS DAUGHTERS LLC,WEST MEMPHIS,AR,Dissolved
"MCKEE, B.C., AND DAUGHTERS, INCORPORATED",SPRINGDALE,AR,Revoked
"MILLS & DAUGHTERS, INC.",PONCA,AR,Good Standing
MOORE'S SON & DAUGHTER CORPORATION,LITTLE ROCK,AR,Revoked
MOTHER DAUGHTER MARKET LLC,,,Expired
"MY TWO DAUGHTERS, LLC",,AR,Revoked
NASH DAUGHTERS LLC,WHEATLEY,AR,Revoked
NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION,LITTLE ROCK,AR,Good Standing
"OUR DAUGHTERS' KEEPER, INC.",LITTLE ROCK,AR,Good Standing
"RUSH & DAUGHTERS, INC.",PINE BLUFF,AR,Dissolved
SAVE OUR SONS AND DAUGHTERS (S.O.S.A.D.),SEARCY,AR,Good Standing
"SERVE PEOPLE AND RESTORE KINDRED SONS AND DAUGHTERS, INC. S.P.A.R.K.S.",MOUNTAIN HOME,AR,Good Standing
"SHARECROPPER'S DAUGHTER BRANDS, LLC",JONESBORO,AR,Not Current
"SHAVER-DAUGHTERY HUNTING CLUB, INC.",HAMBURG,AR,Good Standing
"SIMON BRADFORD CHAPTER, UNITED STATES DAUGHTERS OF 1812",PINE BLUFF,AR,Good Standing
SON AND DAUGHTERS TRKING LLC,WHEATLEY,AR,Revoked
SONS AND DAUGHTERS AGAINST DOMESTIC ABUSE,PINE BLUFF,AR,Good Standing
STRICKLAND'S DAUGHTER COMPANY,,,Good Standing
"STRICKLAND'S DAUGHTER, LLC",PINE BLUFF,AR,Good Standing
T J'S DAUGHTER LLC,SCRANTON,AR,Revoked
THE ARKANSAS STATE SOCIETY UNITED STATES DAUGHTERS OF 1812,PINE BLUFF,AR,Good Standing
THE CARPENTER'S DAUGHTERS FOUNDATION,STUTTGART,AR,Dissolved
"THE DAUGHTERS OF ESTHER (DEMI) MINISTRIES, INC.",LONOKE,AR,Good Standing
THE DAUGHTERS OF MERCIES ASSISTANCE GROUP,LITTLE ROCK,AR,Good Standing
THE FARMER'S DAUGHTER CAFE,,AR,Expired
THE SONS OF GOD AND NEW DAUGHTERS OF ZION WOMEN FOR GOD CORPORATION,NORTH LITTLE ROCK,AR,Good Standing
"TOBY DEWAYNE DAUGHTERY ENTERPRISE, L.L.C.",LITTLE ROCK,AR,Revoked
"TWO DANCING DAUGHTERS, LLC",SPRINGDALE,AR,Good Standing
"TWO DAUGHTERS LAND & CATTLE, LLC",GENTRY,AR,Revoked
"TWO DAUGHTERS PROPERTIES, LLC",FARMINGTON,AR,Good Standing
"UNITED MERCY DAUGHTERS & SONS, INC.",NORTH LITTLE ROCK,AR,Good Standing
"UNITED SONS AND DAUGHTERS OF BENEVOLENT SOCIETY, INCORPORATED",LITTLE ROCK,AR,Good Standing
"VICTORY AND DAUGHTERS, INC.",TUCKERMAN,AR,Good Standing
"W.H. STEWART, EMMA JEAN STEWART AND DAUGHTERS FAMILY LIMITED PARTNERHIP, LLLP",DES ARC,AR,Dissolved
"WALSH & DAUGHTERS, INC. (R)",LITTLE ROCK,AR,Revoked
