Name,City,State,Status
"3 DAUGHTER'S TRUCKING, LLC",VAN BUREN,AR,Revoked
ABIGAIL COURT #1 DAUGHTERS OF SPHINX,LITTLE ROCK,AR,Good Standing
ARKANSAS STATE SOCIETY DAUGHTERS OF THE AMERICAN REVOLUTION,JACKSONVILLE,AR,Good Standing
"BORO & DAUGHTERS, LLC",,,Expired
BOWMAN DAUGHTERS LIMITED PARTNERSHIP,MARIANNA,AR,Revoked
"BURGESS & DAUGHTERS' PAWN, INC.",SHIRLEY,AR,Good Standing
"C. H. BOWMAN & DAUGHTERS, INC.",MORO,AR,Dissolved
CARPENTER'S DAUGHTER APPRENTICESHIP PROGRAMS,PINE BLUFF,AR,Good Standing
"COOK & DAUGHTERS, LLC",HOT SPRINGS,AR,Revoked
"DAUGHTER'S OF ESTHER (DEMI) MINISTRIES, INC.",,,Expired
DAUGHTER'S OF THE KING OUTREACH MINISTRIES,,AR,Expired
DAUGHTER'S OF THE KING OUTREACH MINISTRIES,MENA,AR,Good Standing
DAUGHTERLIGHT INC,LITTLE ROCK,AR,Revoked
DAUGHTERS & SON BILLIARDS L.L.C.,OMAHA,AR,Not Current
"DAUGHTERS BOUTIQUE, LLC",PARAGOULD,AR,Good Standing
DAUGHTERS DESIGNS LLC,HARRISON,AR,Dissolved
"DAUGHTERS OF CHARITY NATIONAL HEALTH SYSTEMS - WEST CENTRAL, INC.",LITTLE ROCK,AR,Good Standing
"DAUGHTERS OF CHI RHO, THE",STATE UNIVERSITY,AR,Good Standing
"DAUGHTERS OF HOPE, INC",LITTLE ROCK,AR,Good Standing
DAUGHTERS OF JOVI INTERNATIONAL LLC,NORTH LITTLE ROCK,AR,Revoked
DAUGHTERS OF MIRIAM #304 INC.,,,Expired
DAUGHTERS OF THE EAST NO. 21,CONWAY,AR,Good Standing
DAUGHTERS OF ZION,FAYETTEVILLE,AR,Good Standing
DAUGHTERS OF ZION & SONS OF THUNDER MINISTRIES INTERNATIONAL INCORP.,MONTICELLO,AR,Good Standing
DAUGHTERS OF ZION ALL WOMEN'S BIBLE COLLEGE,WEST MEMPHIS,AR,Good Standing
DAUGHTERS OF ZION TRANSITIONAL LIVING CENTER,LITTLE ROCK,AR,Pending
DAUGHTERS PURSUING DESTINY,WEST HELENA,AR,Good Standing
"DAUGHTERS, INC",LITTLE ROCK,AR,Revoked
"DAVID OWEN DODD CHAPTER NO. 212, ARKANSAS DIVISION, UNITED DAUGHTERS OF THE CONFEDERACY",PINE BLUFF,AR,Good Standing
DISTINCTIVE DAUGHTERS OF THE LIGHT CHAPTER #45,CABOT,AR,Good Standing
DUDLEY'S DAUGHTER LLC,LITTLE ROCK,AR,Good Standing
"EARL DAUGHTERY FARMS, INC.",STUTTGART,AR,Good Standing
"EMPOWERED DAUGHTERS OF DESTINY, INC.",WHITE HALL,AR,Dissolved
"FARMER'S DAUGHTERS FARMS, LLC",BEECH GROVE,AR,Good Standing
"FARMERS DAUGHTER PROPERTIES, LLC",LITTLE ROCK,AR,Not Current
FATHER & DAUGHTERS ENTERPRISES L.L.C.,PINE BLUFF,AR,Revoked
"FIVE DAUGHTERS, INC.",LITTLE ROCK,AR,Revoked
"FOUR DAUGHTERS, LLC",,AR,Expired
FROM MOTHER TO DAUGHTER LLC,LITTLE ROCK,AR,Revoked
"G. G. & THREE DAUGHTERS, LLC",FORT SMITH,AR,Good Standing
HANDS OF FAITH IN JESUS CHRIST SONS AND DAUGHTERS OF ABRAHAM,FORT SMITH,AR,Administratively Dissolved
HARRIS & DAUGHTER TRUCKING CO.,X,AR,Revoked
HENRY AND DAUGHTER INC.,EARLE,AR,Good Standing
"IAN STANLEY AND DAUGHTER CONSTRUCTION AND DESIGN, LLC",BENTONVILLE,AR,Good Standing
"J & J FATHER & DAUGHTER, LLC",ROGERS,AR,Revoked
J. JOSEPH AND MARGARET C. TAYLOR DAUGHTERS' LIMITED PARTNERSHIP,CLARENDON,AR,Revoked
JOHN PERCIFULL CHAPTER OF THE NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION,X,AR,Good Standing
"JR'S DAUGHTER AT THE RED BARN, LLC",MOUNT IDA,AR,Revoked
"KINDER & DAUGHTERS AUTO, INC.",VAN BUREN,AR,Dissolved
KING'S DAUGHTER INVESTMENTS LLC,CONWAY,AR,Good Standing
"KING'S DAUGHTERS PHARMACY, LLC",FAYETTEVILLE,AR,Revoked
"LANSFORD AND DAUGHTERS, L.L.C.",MOUNTAIN HOME,AR,Revoked
LEAH'S DAUGHTERS,BENTON,AR,Good Standing
