Entity Type,Entity #,Entity Name,Name Type,Status
Business Corporation,119080,"5 Daughters Seafoods, Inc",Legal Name,Involuntarily Dissolved
Nonprofit Corporation,633H,ALASKA NATIVE DAUGHTERS,Legal Name,Involuntarily Dissolved
Limited Liability Company,10087421,"Casper's Granddaughter Eagle Eyes, LLC",Legal Name,Good Standing
Limited Liability Company,121108,Chowaniec and Daughters LLC,Legal Name,Involuntarily Dissolved
Limited Liability Company,119190,"COTTER DAUGHTERS AND SONS, LLC",Legal Name,Good Standing
Nonprofit Corporation,59394D,DAUGHTERS OF THE NEW MOON DANCE ASSOCIATION,Legal Name,Good Standing
Limited Liability Company,10033363,"Daughters Protection Asset Management, LLC",Legal Name,Non-Compliant
Limited Liability Company,127547,"Dotter and Daughters, LLC",Legal Name,Involuntarily Dissolved
Limited Partnership,72237PD,DOYLE AND DAUGHTERS FAMILY LIMITED PARTNERSHIP,Legal Name,Non-Compliant
Limited Liability Company,10012074,"Faria Daughters, LLC",Legal Name,Involuntarily Dissolved
Name Reservation,105076,Fishermen's Daughters Fuels,Legal Name,Expired Name
Limited Liability Company,10021640,Five Daughters LLC,Legal Name,Good Standing
Limited Liability Company,10033633,Four Beautiful Daughters LLC,Legal Name,Involuntarily Dissolved
Business Corporation,37685D,"FOUR DAUGHTERS, INC.",Legal Name,Good Standing
Limited Liability Company,10018948,"Gold Daughters, LLC",Legal Name,Good Standing
Business Corporation,49806D,"MICHELSOHN & DAUGHTER CONSTRUCTION, INC.",Legal Name,Good Standing
Business Corporation,82563D,"MY DAUGHTER AND ME ASSISTED LIVING HOME, LTD.",Legal Name,Involuntarily Dissolved
Limited Liability Company,111890,"PROPERTIES OF SHERI B AND DAUGHTERS, LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,10009060,ROTHENBURGER DAUGHTER FISHING LLC,Legal Name,Good Standing
Nonprofit Corporation,51625D,SONS & DAUGHTERS OF AFRICA,Legal Name,Involuntarily Dissolved
Limited Liability Company,63534D,"THE MILLER'S DAUGHTER, LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,10092287,The Surveyor's Daughter LLC,Legal Name,Non-Compliant
Limited Liability Company,10010578,"Three Daughters, LLC",Legal Name,Involuntarily Dissolved
