Entity Name,ID Number,NAICS,Inactive status
SONAT MARKETING COMPANY L.P.,97023,,Cancelled
SONAX INTERNATIONAL LLC,143885,,Revoked Entity
SONBRA MARKETING LLC,157534,,Revoked Entity
"SONCENTERED CONSULTING, LLC",553322,541512,Dissolved
SonCentered LLC,553321,,Name Reservation
SONCENTERED LLC,553322,541512,Dissolved
SonCentered Property Investments,1684313,,Name Reservation
SonCentered Property Investments LLC,1685985,531110,
"SonCentered RealEstate, LLC",1685985,531110,
SONCO WORLDWIDE INC,1661219,532299,Revoked Entity
"Sondaw Properties, Inc.",115402,531120,
"SON-DEE, INC.",12625,,Revoked Entity
"Sonder Designs, LLC",1693159,,
Sondler Salvadore & Associates,99080,541110,
"SONDLER SALVADORE & DICRISTOFARO, LLP",99154,,Expired
"Sondra Jewelry Co., Inc.",12630,,Revoked Entity
"Sondra's Beauty Supply, Inc.",81082,,Revoked Entity
SONDRA'S LLC,503846,812112,Dissolved
"SONDRA'S TOTAL CONCEPT SALON, INC.",12641,,Revoked Entity
"S-One, LLC",788733,,Revoked Entity
"Soneath L. Pond MD, Inc.",145401,,Revoked Entity
"Sonepar Distribution New England, Inc.",102658,423610,
"Sonepar Distribution US, Inc.",102658,423610,
Sonesta International Hotels Corporation,1676466,721110,
"Song International, Inc.",12661,,Revoked Entity
"SONG JEWELRY, INC.",97066,,Revoked Entity
"Song of Songs Entertainment, Inc.",118195,,Revoked Entity
"Song Realty, LLC",504784,,Revoked Entity
Songo LLC,148072,,Revoked Entity
"SONG'S HAPKIDO, INC.",130962,,Revoked Entity
Sonia,271884,,Revoked Entity
Sonia Martinez,1658428,,
Sonia Mesika,1683663,,
SONIA OBJIO,503382,,
SONIA'S CLEANING SERVICE LLC,734702,812990,
SONIA'S NEAR EAST MARKET & DELI,650860,54999904,
SONIC,998192,722513,
"Sonic Cash of Rhode Island, LLC",165261,,Revoked Entity
Sonic Franchising LLC,650889,722511,
Sonic Industries LLC,305289,722511,
Sonic Industries Services Inc.,259679,722511,
"Sonic Industries, Inc.",6062,,Revoked Entity
Sonic PE Inc,142904,,Revoked Entity
SONIC SANCTUARY LLC,506285,61,Revoked Entity
"SONIC TRANSPORT, INC.",137234,117700,
"SonicWorks, Inc.",132969,,Revoked Entity
Sonid LLC,582008,,Conversion
SONIDO LLC,1680784,,
"Sonifi Solutions, Inc.",76318,713120,
"SONISIS, INC.",63206,,Revoked Entity
"Sonitrol Franchise Company, L.L.C.",487874,,Revoked Entity
SONITROL SECURITY SYSTEMS,2033,,Revoked Entity
Sonitrol Security Systems,133201,,Revoked Entity
"SONITROL SECURITY SYSTEMS OF HARTFORD, INC.",796112,561621,
SONITUS MEDICAL INC.,950768,,Revoked Entity
"SONIX4U, INC.",120718,,Revoked Entity
"Sonja L. Deyoe, Inc.,",794258,,Revoked Entity
"SonJon Realty, Inc.FC: 12/31/88",12673,,Revoked Entity
Sonmar Corp.,41474,,Revoked Entity
Sonn Sam,1672186,,
"Sonner Plumbing & Heating, Inc.",771676,81,Revoked Entity
Sonner Plumbing inc,771676,81,Revoked Entity
Sonnet 27 Corporation,1669658,453991,
Sonnet 27 LLC,792700,,Revoked Entity
Sonnet Financial,115949,522390,
Sonnia's Jewelry,120048,498150,
SONNY BOY DEVELOPMENT L.L.C.,1335241,531390,
Sonny Dog LLC,1701374,,
"Sonny Jackson, LLC",966084,,Revoked Entity
"Sonny Kern's Repair Service, Inc.",128001,,Dissolved
"SONNY K'S QUALITY HOMES, INC.",120785,238115,Dissolved
"SONNY REALTY, LLC",540689,531120,
"Sonny Walker, Inc",1689817,,Revoked Entity
"Sonny, LLC",1674425,812990,
Sonny's Italian Restaurant,563904,,Revoked Entity
Sonny's Italian Specialties,563904,,Revoked Entity
SONO & MANO LLC,136846,,Revoked Entity
"SONO RETAILERS, INC.",1673487,445120,Revoked Entity
Sonoco Products Company,158801,322211,
Sonoma Bistro & Wine Bar,792849,722511,
Sonoma Gourmet LLC,1677184,,Cancelled
"SONOMA PROPERTIES OF RI, LLC",524240,531390,
SONOMA REALTY DEVELOPMENT CORP.,127447,,Revoked Entity
"Sonoma, LLC",164549,,Dissolved
"Sonoma, LLC",165528,,Expired
"SONORA COMPANY, LLC",1338667,,Revoked Entity
Sonoran National Insurance Group,125098,999999,
"Sonoran Title Services, Inc.",691978,,Revoked Entity
"Sonquipaug Association, Inc.",29230,813990,
Sonrisa Communication LLC,790214,,Revoked Entity
"Sonrisa Sol RI, LLC",1679500,531110,
"Sonrisa Sol RI, LLC",1681212,,
"SON-ROCK GLOBAL, LLC",956967,,Revoked Entity
"SONS & DAUGHTERS DAY CARE, INC.",12681,,Revoked Entity
"Sons and Daughters of Erin, Pawtucket RI.",798058,813990,
Sons and daughters of Kalcata USA,1693974,,
Sons and Daughters of the First Americans,29243,,Revoked Entity
Sons Construction Corporation,12677,621340,Revoked Entity
SONS LLC,1670552,531110,
SONS MARINE & INDUSTRIAL INC.,1659611,333992,
"Sons of 54 Everett Avenue, LLC",1669855,531110,
SON'S OF AFRICA,795095,,Revoked Entity
Sons of D&D Home & Industrial Services LLC,1680847,,
SONS OF DAVID CLUB,29239,,Revoked Entity
"Sons of ERAC, LLC",1701761,,
"Sons of Italy, II, Inc.",1689661,722410,
Sons of Liberty Brewing Company,555385,312140,
Sons of Liberty Spirits,554943,,Name Reservation
Sons of Liberty Spirits Company,555385,312140,
Sons of Liberty Whiskey Company,555385,312140,
SONS OF NEPTUNE SERVICES INC.,911778,,Revoked Entity
"Sons of New England Construction, LLC",1669229,,Revoked Entity
Son's Pizza of Rhode Island,75009,,Revoked Entity
SONTERRA INTERNATIONAL LLC,123334,,Revoked Entity
"Sonus Research And Design, Inc.",141225,541690,
Sony Corporate Services Inc.,1700796,,
SONY ELECTRONICS INC.,82168,811219,
Sony Interactive Entertainment LLC,1685988,511210,
"SONYA LYNN TOOTELL SIGNATURE SALON, LLC",1685913,,
Sonya's Cleaning Service LLC,734700,,Name Reservation
"SONYA'S DONUT SHOP, INC.",43037,,Revoked Entity
Sonya's Inc.,12686,,Revoked Entity
"Sonya's Signature Salon, LLC",941914,,Revoked Entity
"Sonzie Restoration & Construction, LLC",1660040,,Revoked Entity
SOSA & SON HEATING-AC AND REFRIGERATION CORP,530374,238220,
"Sprague & Son, L.L.C.",1690051,,
Sterling & Son Investments LLC,1659574,531110,
"Suchocki & Son, Inc.",1657928,237990,
"T. F. Monahan & Son, Inc.",12166,229999,
"TAILOR'S Son, LLC",1691210,,
"Tallo & Son Construction, LLC",1700724,,
Teixeira & Son Excavation Inc.,131328,423320,
"The Barber's Son, LLC",1684838,523930,
The Mr. And Mrs. Robert N. Chapman and Their Son Robert B. Chapman Charitable Foundation,160605,813319,
The son you always wanted construction L.L.C.,508180,,Revoked Entity
"The Son You Always Wanted Construction, LLC",138061,,Revoked Entity
"THOMAS J. PRINCIPE & SON, INC.",37463,236115,
"V. BEVILACQUA & SON, INC",55530,813910,
Vasquez & Son's Enterprises LLP,1672172,,
Wally & Son's Express LLC,1673840,481112,
"William Coon & Son, Inc.",525705,238910,
"William J. Smith & Son, Inc.",12239,812210,
