Business Name,Entity Id,City,Type,Incorporated Date
"SON & SON, LLC",600035352,RUMSON,LLC,2/13/1997
"SON BOB, INC.",100322556,,DP,12/31/1986
"SON BROTHERS TEMP., INC.",100695886,,FR,2/18/1997
"SON CONSTRUCTION, INC.",100419482,KEARNY,DP,6/16/1989
"SON DATA SERV, INC.",100364910,NEWARK,DP,2/11/1988
SON LIFE INTERNATIONAL INC.,100155411,,DP,12/1/1981
"SON OF JULIUS PRODUCTIONS, INC.",100087191,,DP,5/7/1979
"SON OF STORM DRYWALL, INC.",100615428,,DP,2/3/1995
"SON PALLETS, INC.",7685485000,CLARK,DP,8/23/1974
SON RAN INTERNATIONAL CORPORATION,100126702,,DP,11/20/1980
"SON SCHEIN SALES, INC.",100652284,LINDEN,DP,1/24/1996
"SON SEEKERS RECOVERY AND RESTORATION CHURCH, INC.",100446812,RIVERSIDE,NP,3/28/1990
"SON SHINE CHRISTIAN BOOK STORE, INC.",100202090,MOORESTOWN,DP,7/27/1983
"SON SHINE DECORATORS, INC.",100291862,,DP,3/20/1986
SON SHINE RECORDS,8350760000,,DP,4/18/1974
"SON VALLEY DEVELOPERS, LLC",600059710,RANDOLPH,LLC,12/8/1998
"SON VIDA SPA, INC.",8351301000,,FR,10/11/1974
"SON'S CLEANERS, INC.",100611463,DELAWARE,DP,1/4/1995
"SON'S DISCOUNT, INC.",100577868,WEST NEW YORK,DP,2/9/1994
"SON'S ENTERPRISE, INC.",100555878,UNION,DP,6/16/1993
"SON'S FURNITURE, INC.",100013242,,DP,3/4/1976
SON'S TAEKWONDO INC.,100679407,BAYONNE,DP,9/18/1996
"SON, INC.",8349330000,Newark,DP,6/12/1951
"SON-BAL, INC.",100289815,,DP,3/4/1986
"SON-ERI CO., INC.",8348080000,FREEHOLD,DP,8/28/1970
SON-FAL CORPORATION,100610554,HACKENSACK,DP,12/23/1994
SON-HURST CORP.,8348760000,,DP,1/23/1973
"SON-JACK, INC.",100083878,,DP,3/23/1979
SON-LEN ENTERPRISES INC.,100163535,,DP,3/15/1982
"SON-MAR ENTERPRISES, INC.",100087710,,DP,5/14/1979
"SON-MAR, INC.",8349401500,,DP,3/10/1972
"SON-RAY FOODS, INC.",100224464,,DP,4/23/1984
"SON-TILE, INC.",100276764,STILLWATER,DP,10/25/1985
"SON-VAL DEVELOPMENT COMPANY, L.L.C.",600030201,KINNELON,LLC,8/23/1996
"SONA CLEANING COMPANY, INC.",8347302000,,DP,9/18/1972
SONA ENTERPRISES INC.,100072682,ASBURY PARK,DP,10/6/1978
SONA ENTERPRISES LIMITED LIABILITY COMPANY,600024683,PENNINGTON,LLC,1/3/1996
"SONA ENTERPRISES, INC.",100631303,EDISON,DP,6/26/1995
"SONA FASHIONS, INC.",100530043,FRANKLIN PARK,DP,9/24/1992
SONA FRAGRANCES INC.,100559087,EDISON,DP,7/20/1993
"SONA JEWELERS, INC.",100594611,ISELIN,DP,7/1/1994
"SONA MANAGEMENT, INC.",100243851,FORT LEE,DP,12/4/1984
SONA MANDI INC.,100822920,,DP,7/14/2000
"SONA MOTI ENTERPRISES, INC.",100691756,TOMS RIVER,DP,1/13/1997
SONA RATAN U.S.A. INC.,100420674,S HACKENSACK,DP,6/27/1989
"SONA SYSTEMS & SOFTWARE, INC.",100391757,LIVINGSTON,DP,10/6/1988
"SONA TRADERS, INC.",5600000001,,DP,1/31/1974
"SONA'S CAROUSEL COIFFURES, INC.",100046722,,DP,9/1/1977
"SONA, INC.",100579684,BRICKTOWNSHIP,DP,3/1/1994
"SONAC NIGERIAN & AMERICAN CO., INC.",100276970,,DP,10/28/1985
"SONAL DONUTS, INC.",100606329,GIBBSBORO,DP,11/10/1994
"SONAL ENTERPRISE USA, INC.",100291688,,DP,3/19/1986
"SONAL ENTERPRISES, INC.",100192498,,DP,4/5/1983
SONAL INTERNATIONAL U.S.A. INC.,100415760,,FR,3/31/1989
SONAL SPORTSWEAR INC.,100420754,SOMERSET,DP,7/3/1989
SONAL TRADING CORP.,100289378,UNION CITY,DP,2/27/1986
"SONALERT SECURITY SYSTEMS, INC.",100166891,,DP,5/3/1982
SONALI CORPORATION,100506844,PRINCETON JCT,DP,1/28/1992
"SONALI JEWELERS (NJ), INC.",100558671,ISELIN,DP,7/15/1993
SONALIS LLC,600028735,,LLC,6/26/1996
"SONALISA, INC.",100609451,EDISON,DP,12/14/1994
"SONALY DONUTS, INC.",100018028,,DP,5/12/1976
SONALY INVESTMENT CORPORATION,100308237,EAST ORANGE,DP,8/18/1986
"SONALYSTS, INC.",100658316,WATERFORD,FR,3/5/1996
SONAM CORP.,100509178,FORT LEE,DP,2/13/1992
"SONAMB'S, INC.",5611822500,,DP,1/3/1967
"SONAR CONSTRUCTION COMPANY, INC.",100172797,,DP,7/16/1982
SONAR ELECTRIC AND SIGN COMPANY,8347470000,,DP,3/7/1972
SONAR SAFETY SYSTEMS INC.,100813096,,FR,2/18/2000
"SONAR SCAN, INC.",100117039,,DP,7/3/1980
"SONAR-ELECTRONICS NETWORK, LTD., INC.",100188595,,DP,2/22/1983
SONARA CORP.,100487935,,DP,6/26/1991
SONARGAON SERVICES INC.,100555633,,DP,6/14/1993
"SONARGOAN SERVICES, INC.",100320775,,DP,12/12/1986
SONARO REALTY CORP.,100171120,MOUNTAISIDE,DP,6/25/1982
"SONARTS, INC.",100243668,LINDEN,DP,12/3/1984
SONAT OFFSHORE DRILLING INC.,100198695,,FR,6/23/1983
SONAT OFFSHORE USA INC.,100225882,,FR,5/3/1984
"SONATA BAY CLUB HOMEOWNERS ASSOCIATION, INC.",100389993,BAYVILLE,NP,9/20/1988
SONATA BAY DEVELOPMENT CORP.,100328842,ASBURY PARK,DP,3/4/1987
SONATA BAY REALTY CORP.,100421335,,DP,7/11/1989
"SONATA COMPANY, INC.",100765527,ELIZABETH,DP,12/9/1998
"SONATA INDUSTRIES, INC.",100199492,,DP,6/28/1983
"SONATA WEB DESIGN, INC.",100820987,MANALAPAN,DP,6/23/2000
"SONATECH, INC.",100433157,ASBURY PARK,DP,11/14/1989
SONATRON CORP.,100091222,,DP,6/29/1979
"SONBAR NATIONAL PUBLICATIONS, INC.",100329385,,DP,3/10/1987
SONBAY INC.,8347585000,JACKSON,DP,12/14/1961
"SONBEC CONSTRUCTION, INC.",100284015,TROY,DP,1/9/1986
"SONCINI ENTERPRISES, INC.",100302711,FORKED RIVER,DP,6/24/1986
"SONCO PAINTING, INC.",100783061,BELLMAWR,DP,5/28/1999
"SONCO, INC.",100289118,,DP,2/25/1986
"SONCRAFT SYSTEMS, INC.",8347607500,,DP,7/26/1972
"SONDA TOURS, INC.",8347647000,,DP,11/2/1973
"SONDAGE VENTURES, LTD (""CORPORATION"")",100013181,WEST ORANGE,DP,3/2/1976
"SONDAY MUSIC, INC.",8347650000,,DP,11/24/1970
"SONDBARB CORP., INC.",8347652500,,DP,5/16/1972
"SONDEK, INC.",100154798,EDISON,DP,11/19/1981
SONDELL CONSULTANTS INC.,100318233,,DP,11/25/1986
"SONDERGAARD - KANE AGENCY, INC.",8347660000,,DP,3/7/1969
"SONDERGARD, INC.",100197723,METUCHEN,DP,6/10/1983
SONDERLING BROADCASTING CORPORATION,8347665000,,FR,12/8/1969
"SONDHEIM & LAUGHLIN, INC.",100680494,ISELIN,DP,9/20/1996
"SONDHEIM & LAUGHLIN, INC.",100131848,MADISON,DP,2/5/1981
"SONDHI, INC.",100550449,FORDS,DP,4/22/1993
"SONDI LEE ENTERPRISES, INC.",8347667500,,DP,5/28/1974
"SONDINO LATINO PUBLISHING COMPANY, INC.",100108571,,DP,3/10/1980
"SONDRA COAT CO., INC.",8347706000,,DP,4/14/1961
"SONDRA D., INC.",8347708000,,DP,12/7/1970
"SONDRA FOODS, INC.",100155182,,DP,11/25/1981
"SONDRA PARAMEDIC CO., INC.",8347715000,,DP,4/13/1973
SONDRA RUTH ENTERPRISES,100003847,,DP,9/12/1975
SONDRA'S SALON,100012471,,DP,2/19/1976
"SONDRA'S TRAVEL AGENCY, INC.",100416387,HADDONFIELD,DP,5/22/1989
"SONDREA, INC.",100197487,,DP,6/8/1983
SONE ENTERPRISES L.L.C.,600027987,,LLC,5/29/1996
SONEC USA INCORPORATED,100479578,,DP,3/26/1991
"SONED, INC.",100010576,,DP,1/14/1976
SONEE PROFESSIONAL PHARMACY(FORMERLY SONEE EQUIPMENT RENTAL &,8347888000,,DP,12/4/1967
"SONEE URBAN RENEWAL CORPORATION, INC.",100065979,LYNDHURST,DP,6/29/1978
"SONEER TECHNOLOGIES, INC.",100825209,SOUTH RIVER,DP,8/8/2000
"SONEHAN PROPERTIES, L.P.",600019014,HACKENSACK,LP,3/29/1995
"SONEHAN, INC(FORMERLY THE HANSON COMPANY)",4349955100,,DP,3/8/1954
SONEKO A.D. INC.,100097371,,DP,9/26/1979
"SONEKO HOLDING COMPANY, INC.",100216086,,DP,1/20/1984
SONEKO I.R. INC.,100097373,SOMERSET,DP,9/26/1979
SONEKO M.R. INC.,100097375,,DP,9/26/1979
"SONEKO PRESS, INC.",100165731,SOMERSET,DP,4/16/1982
"SONEKO, INC.",100011539,,DP,2/3/1976
SONEL DISTRIBUTORS,8347950000,,DP,4/11/1972
"SONELL, INC.",100056685,,FR,2/14/1978
"SONER, INC.",100213471,WEST CALDWELL,DP,12/15/1983
"SONERI ENTERPRISES, INC.",100594371,HOBOKEN,DP,7/15/1994
SONET INC.,100626692,,DP,5/12/1995
SONETRONICS INTERNATIONAL INC.,100142606,West Belmar,DP,6/16/1981
