Business Name,Entity Id,City,Type,Incorporated Date
"SONEX COMMUNICATIONS, INC.",100432525,,DP,11/3/1989
SONEX CORPORATION,100475890,,DP,2/20/1991
"SONEX FOOD PRODUCTS SUPPLY, INC.",100016733,FREEHOLD TOWNSH,DP,4/22/1976
"SONG & CO., INC.",100005913,,DP,10/16/1975
"SONG & FAMILY PARTY CENTER, INC.",100600147,CHESTER,DP,9/13/1994
"SONG AND ASSOCIATES CONSULTING, INC.",100820206,SICKLERVILLE,DP,6/15/2000
"SONG AND ASSOCIATES, L.P.",600026884,CHAMAIGN,LP,4/16/1996
"SONG AND DANCE ASSOCIATES, INCORPORATED",100387880,,DP,8/26/1988
"SONG CHON KOREAN RESTAURANT, INC.",100424901,JERSEY CITY,DP,8/18/1989
"SONG CONSULTING CO., INC.",100562006,HOLMDEL,DP,8/20/1993
"SONG E CAPITAL, LLC",600097641,,LLC,9/8/2000
"SONG ENTERPRISES, LTD.",100421125,TEANECK,DP,7/7/1989
SONG GARDEN PROD. LTD.,100570247,,DP,11/17/1993
"SONG GRAM RECORDS, INC.",100101582,,DP,11/21/1979
"SONG HUNG, INCORPORATED",100370509,,DP,3/25/1988
"SONG JUNKIE MUSIC PUBLISHING, LLC",600094320,POINT PLEASANT BEACH,LLC,7/19/2000
"SONG LIMOUSINE SERVICE, INC.",100273890,,DP,10/1/1985
SONG OF LIFE L.L.C.,600092741,,LLC,6/21/2000
SONG OF THE SEA FISHERMAN'S WHARF,100039582,,DP,5/9/1977
"SONG TRADING CO., INC.",100545261,POMPTON LAKES,DP,3/4/1993
"SONG YOUNG HEALTH SPA, INC.",100411558,,DP,4/7/1989
SONG'S CARD CORPORATION,100374282,TEANECK,DP,4/27/1988
"SONG'S CLEANERS, INC.",100457435,PALISADES PARK,DP,7/16/1990
SONG'S CYCLE & SPORTS CORP.,100160954,,DP,2/17/1982
"SONG'S DATA PROCESSING, INC.",100128667,,DP,12/22/1980
"SONG'S ELECTRONICS, INC.",100696646,,DP,2/19/1997
"SONG'S FRANKFORD CLEANERS, INC.",100587966,CLEMENTON,DP,5/12/1994
"SONG'S PRODUCTS, INC.",100510225,,DP,2/28/1992
"SONG'S VIDEO WORLD, INC.",100170365,,DP,6/16/1982
SONGA INC.,100673436,WESTFIELD,DP,7/24/1996
"SONGBIRD ENTERPRISES, INC.",100104605,,DP,1/10/1980
"SONGBIRD ENTERTAINMENT & BUSINESS PROMOTIONS, INC.",100623313,,DP,4/11/1995
"SONGBIRD PRODUCTIONS, INC.",100636495,WHITESBORO,DP,8/16/1995
"SONGBIRD REALTY, L.L.C.",600036004,NEWTON,LLC,3/5/1997
SONGE INC.,100664133,,DP,5/1/1996
"SONGHAI CHARITIES, INC.",100505026,NEWARK,NP,12/31/1991
"SONGHAI SHIPPING AGENCY, INC.",100600341,NORTH PLAINFIEL,DP,9/15/1994
"SONGHAY, INC.",100302179,,DP,6/19/1986
SONGIL REALTY CORPORATION,8348501000,ORANGE,DP,6/11/1952
"SONGLO, INC.",100361962,MONTCLAIR,DP,1/21/1988
"SONGMAN MUSIC, INC.",100236953,,DP,9/11/1984
"SONGO PROPERTIES, INC.",8348562000,,DP,7/3/1967
"SONGS FOR JOY, INC.",100200497,,NP,7/6/1983
SONGS OF DELIVERENCE MINISTRIES INC.,100266537,DUMONT,NP,7/18/1985
SONGUN INC.,100825155,PARISPPANY,DP,8/8/2000
"SONGWRITER CONNECTION, INC.",100234048,,DP,7/31/1984
"SONGWRITER'S STUDIO, INC.",100141113,PATERSON,DP,5/27/1981
"SONHAR FARMS, INC.",8348750000,,DP,10/9/1969
"SONI - BUD, INC.",100558974,CRANFORD,DP,7/19/1993
"SONI DEVELOPERS, INC.",100278732,,DP,11/15/1985
"SONI JEWELERS, INC.",100591007,MATAWAN,DP,6/13/1994
SONI SAMAJ OF U.S.A. INC.,100673656,EDISON,NP,7/26/1996
SONI'S INC.,100568597,CLIFFSIDE PARK,DP,10/12/1993
"SONIA BADGE COMPANY, INC.",100344758,ORANGE,DP,7/22/1987
"SONIA BAR & GRILL, INC.",100167258,,DP,5/5/1982
SONIA CORP,100682902,NEW YORK,DP,10/17/1996
"SONIA CREATIONS, INC.",100617199,NORTH BERGEN,DP,2/21/1995
SONIA FASHION INC.,100128400,UNION CITY,DP,12/17/1980
"SONIA HAIR FASHIONS, INC.",8348870000,,DP,3/29/1968
SONIA INCORPORATED,100058725,,DP,3/16/1978
"SONIA JACOB, INC.",100028877,,DP,11/15/1976
SONIA MINI-MAX INC.,100087893,,DP,5/16/1979
"SONIA OQUENDO, MD, PC",100814022,,PA,4/14/2000
SONIA PAINTING INC.,100300135,,DP,5/30/1986
SONIA REALTY CORP.,100132915,,DP,2/19/1981
SONIA'S CASUALS CORP.,100436870,NORTHBERGEN,DP,12/14/1989
"SONIA'S DREAM CAFE AND RESTAURANT, CORP.",100652774,NEWARK,DP,1/26/1996
"SONIA'S, INC.",100267153,,DP,7/25/1985
"SONIA-BELLA INTERIORS, INC.",100293957,PISCATAWAY,DP,4/7/1986
"SONIC CLEAN, INC.",100393119,,DP,10/19/1988
"SONIC CONSTRUCTION, INC.",100783192,,DP,6/1/1999
SONIC CONTROL CORPORATION,8349210000,,DP,10/30/1974
SONIC COURIER SERVICES INC.,100518433,ORANGE,DP,5/20/1992
"SONIC CURING, INC.",100484886,SADDLE BROOK,DP,5/13/1991
SONIC CUSTOM CARS & HOT RODS INC.,100286859,,DP,1/30/1986
"SONIC DEVICES, INC.",100002926,,DP,8/22/1975
"SONIC DIGITAL DESIGN, INC.",100642715,CRANBURY,DP,10/18/1995
SONIC EASE TOOLING CORP.,100769007,KEYPORT,DP,1/15/1999
"SONIC ELECTRONICS, INC.",100570783,BUTLER,DP,11/16/1993
"SONIC ENERGY SYSTEMS, INC.",8349195000,PARSIPPANY,DP,5/3/1954
"SONIC ENTERPRISES, INC.",100688393,TOWACO,DP,12/9/1996
"SONIC ENVIRONMENTAL SERVICES, INC.",100432715,PARSIPPANY,DP,10/19/1989
"SONIC EXCELLENCE, INC.",100617976,,DP,2/23/1995
"SONIC EXPRESS, INC.",100611274,ALLENHURST,DP,12/27/1994
SONIC FABRICATING INC,100624581,,FR,4/24/1995
"SONIC INSTRUMENTS, INC.",100164958,,FR,4/2/1982
"SONIC INSTRUMENTS, INC.",8349266500,,DP,4/22/1969
SONIC INTERNATIONAL CORP.,100073591,EDISON,FR,10/23/1978
SONIC MARINE CORPORATION,8349270000,,DP,3/1/1966
"SONIC PACKAGING INDUSTRIES, INC.",100515884,WESTWOOD,DP,4/27/1992
SONIC PETROLEUM RECOVERY CORP.,100057510,,DP,2/28/1978
SONIC POWER DOOR COMPANY,8349273500,,DP,3/20/1972
SONIC PRINTING INC.,100698794,,DP,3/11/1997
"SONIC PROMOTIONS, INC.",100621960,,FR,3/31/1995
SONIC SALES CORPORATION,100500375,PARSIPPANY,DP,10/31/1991
SONIC SECURITY SYSTEMS,8349312500,,DP,3/7/1972
"SONIC SERVICE COMPANY OF JERSEY CITY, INC.",100306346,,DP,7/30/1986
"SONIC SHIPPING SYSTEMS, INC.",100355019,MT LAUREL,DP,11/4/1987
SONIC SIGNAL CORP.,8349321000,,DP,6/6/1975
"SONIC SNAIL PRODUCTIONS, INC.",100784155,,DP,6/10/1999
SONIC SOLUTIONS INC.,100243118,,DP,11/27/1984
"SONIC SOUND, INC.",100251754,,DP,2/20/1985
"SONIC SYSTEMS SALES, NEW JERSEY",100024265,,DP,8/20/1976
"SONIC TECHNOLOGIES, INC.",100824810,,DP,8/3/2000
"SONIC TRANSFER, INC.",100075909,,DP,11/28/1978
SONIC VISION INC.,100828451,,DP,9/13/2000
SONIC WAVE INC.,100513933,SOMERVILLE,DP,4/3/1992
"SONIC WEBWORKS, LLC",600094139,,LLC,7/17/2000
"SONIC WORLD, INC.",100238640,,DP,10/1/1984
"SONICA USA, INC.",100598213,FORDS,DP,8/22/1994
"SONICA, INC.",100214337,,DP,12/29/1983
"SONICEASE, INC.",100151857,KEYPORT,DP,10/14/1981
"SONICK, INC.",100691139,NEWTON,DP,1/10/1997
SONICKSON ASSOCIATES INC.,100234720,,DP,8/9/1984
SONICLEAN INC.,100673939,,DP,7/29/1996
"SONICS & MATERIALS, INC.",8349322000,,DP,4/30/1969
"SONICS & MATERIALS, INC.",100074500,,FR,11/6/1978
SONICVISION INC.,100488398,,DP,6/27/1991
"SONIDECO ENTERPRISES, INC.",100682526,NEWARK,DP,10/16/1996
"SONIDO 2000 LATIN CLUB, INC.",100146217,,NP,8/4/1981
SONIDO LATINO RECORD CORPORATION,100117236,,DP,7/9/1980
"SONIFI SOLUTIONS, INC.",100568214,WEST TRENTON,FR,10/26/1993
SONIKA TRADING CORP.,100396060,,DP,11/14/1988
SONIL CORP.,100312626,,DP,9/30/1986
"SONIMARA, INC.",100459702,HAMILTON SPOARE,DP,8/7/1990
SONINKO ENTERPRISES,8349332500,,DP,2/2/1973
"SONISCAN IMAGING, INC.",100765414,,DP,12/8/1998
SONITECH SYSTEMS,100207099,,DP,9/28/1983
SONITROL SECURITY SYSTEMS OF CENTRAL N.J. INC.,100267083,HAMILTON,DP,7/16/1985
SONIX INCORPORATED OF NEW JERSEY,100499838,FORT LEE,DP,11/12/1991
"SONIX, INC.",100640215,,DP,9/25/1995
"SONJ, INC.",100283946,BERNARDSVILLE,DP,1/8/1986
SONJA CORP.,8349341000,,DP,1/16/1974
"SONJAC REALTY, INC.",8349342000,,DP,4/8/1965
SONJAM CORP.,8349349000,,DP,9/20/1973
SONJON CORPORATION,8349360000,,DP,3/27/1961
"SONJOY GROUP, INC.",100314129,,DP,10/15/1986
"SONK, INC.",8349380000,,DP,3/28/1968
"SONLAY KAVEOMA COMMINITY, INC.",100183610,,DP,12/16/1982
"SONLEE, INC.",100307513,,DP,8/11/1986
"SONLIGHT MINISTRIES, INC.",100671642,WEST CREEK,NP,7/8/1996
"SONLIGHT PERSONNEL, INC.",100270542,NEW BRUNSWICK,DP,8/29/1985
SONLIN CORP.,100470230,LITTLE FALLS,DP,12/13/1990
"SONMAR INDUSTRIES, INC.",100053481,,DP,12/22/1977
"SONMAR, INC.",100468207,,DP,11/21/1990
"SONMARK DEVELOPMENT, INC.",100377824,,DP,5/25/1988
"SONMARK SERVICES, INC.",100189662,,DP,3/4/1983
"SONN-MAD, INC.",100297694,CHERRY HILL,DP,5/8/1986
"SONNAIL, INC.",100376242,N P,DP,5/12/1988
"SONNAR, INC.",100131113,,FR,1/26/1981
SONNATA LLC,600097295,EDISON,LLC,9/1/2000
"SONNEMA CONSTRUCTION CO., INC.",8349440000,,DP,9/10/1971
"SONNEMA TRUCKING, INC.",100457582,NORTHHALEDON,DP,7/12/1990
"SONNENBERG, HAVILAND & PARTNERS, INC.",100570989,RIDGEWOOD,DP,11/29/1993
SONNENBLICK-GOLDMAN CORP.,100432198,NEW YORK,FR,11/1/1989
SONNENBLICK-GOLDMAN CORP. OF NEW JERSEY (FORMERLY* BURKETT MAN,100003549,MOORESTOWN,DP,9/8/1975
"SONNENBURG CORPORATION, INC.",100091738,,DP,7/9/1979
"SONNENFELD AND TROCCHIA, ARCHITECTS, P.A.",100620427,HOLMDEL,DP,3/16/1995
"SONNENFELDT FAMILY FOUNDATION, INC.",100321097,,NP,12/19/1986
"SONNENWALD ASSOCIATES, INC.",100162508,W CALDWELL,DP,3/8/1982
"SONNER AND ASSOCIATES, INC.",100314153,,DP,10/15/1986
SONNET CORP.,100321262,RIDGEWOOD,DP,12/19/1986
"SONNETECH, INC.",100177729,BERKELEY HEIGHT,DP,9/28/1982
SONNETRON CORPORATION,8349465000,,DP,4/17/1973
"SONNETT DECORATING CO., INC.",8349470000,,DP,9/14/1964
SONNETT PAINTING CORP.,8349475000,,DP,9/12/1974
"SONNETTE, INC.",100309904,,DP,9/5/1986
"SONNHEIM COUNSELLING SERVICES, INC.",100117689,CHERRY HILL,DP,7/16/1980
SONNIA'S CORPORATION,100266564,,DP,7/18/1985
"SONNICHSEN, INC.",100121366,"DUMFRIES, VIRGINIA",DP,9/10/1980
"SONNIE KRUTH INTERIOR DESIGN, INC.",100365656,MILLBURN,DP,2/16/1988
"SONNIE SUCKNO REALTY, INC.",100535852,UNION,DP,12/2/1992
"SONNIE'S TOURS, INC.",100525771,,DP,8/5/1992
"SONNTEK, INC.",100204861,UPPER SADDLE RIVER,DP,9/2/1983
"SONNY ""G"" OF FORT LEE, INC.",100415026,FORT LEE,DP,5/8/1989
SONNY & BAYSHAWN CONSTRUTION L.L.C.,600092063,TRENTON,LLC,6/9/2000
"SONNY & SUZANNE, L.L.C.",600035980,AUGUSTA,LLC,3/5/1997
"SONNY ACRES FARM, INC.",8349480000,,DP,6/14/1972
"SONNY AMSTER'S NEW WIGLERS BAKERY, INC.",100161026,,DP,2/18/1982
"SONNY AND SONS, INC.",100291996,,DP,3/21/1986
"SONNY AVERONA ENTERPRISES, INC.",100172736,CHERRY HILL,DP,7/16/1982
"SONNY BEACH, INC.",100274608,,DP,10/8/1985
SONNY BOY INC.,8349512500,,DP,6/3/1974
"SONNY CHEVROLET-BUICK, INC.",100052985,PATERSON,FR,12/14/1977
"SONNY DELIGHT TOURS, INC.",100528543,,DP,9/8/1992
"SONNY DOBBS, INC.",100010627,CHATHAM,DP,1/16/1976
SONNY DRYWALL INCORPORATED,100254006,,DP,3/14/1985
"SONNY FISH MASONRY, INC.",100437925,,FR,1/4/1990
"SONNY GEE RECORDS & TAPES, INC.",100156890,,DP,12/21/1981
"SONNY HAWKES, INC.",100483927,EAST STROUDSBURG,DP,5/13/1991
"SONNY HILL COMMUNITY INVOLVEMENT LEAGUE, INC.",100814750,,NF,4/24/2000
"SONNY HUMMER, INC.",100154207,NAPLES,DP,10/5/1981
SONNY LEASING CORP.,100140162,PATERSON,DP,5/11/1981
"SONNY LEE, INC.",100087347,,DP,5/8/1979
"SONNY MESSINA & ASSOCIATES, INC.",100500380,TOMS RIVER,DP,11/15/1991
"SONNY PLUMBING & HEATING, INC.",100168361,TUCKERTON,DP,5/20/1982
"SONNY PUBLISHING COMPANY, INC.",100304153,,DP,7/9/1986
"SONNY REALTY & INVESTMENT CO., INC.",8349801000,,DP,6/21/1932
SONNY SALES INC.,100348756,,DP,8/28/1987
"SONNY T'S, INC.",100478718,,DP,3/20/1991
"SONNY T, INC.",100708483,HILLSBOROUGH,DP,6/4/1997
SONNY TOURS CO.,100565996,EAST ORANGE,DP,9/28/1993
"SONNY'S ACRES, INC.",100274126,SPARTA,DP,10/3/1985
SONNY'S ADVANCED EDITION,100035980,,DP,3/15/1977
SONNY'S AMOCO SERVICE INC.,100074794,,DP,11/8/1978
"SONNY'S AUTO MART, INC.",100182479,VINELAND,DP,12/1/1982
"SONNY'S BAGELS, INC.",8349902000,SOUTH ORANGE,DP,2/20/1969
"SONNY'S CATERING, INC.",100273051,,DP,9/23/1985
"SONNY'S CLEANERS, INC.",100231178,,DP,6/28/1984
"SONNY'S CONTRACTING, INC.",100646305,STILLWATER,DP,11/17/1995
SONNY'S COUNTRYSIDE TAVERN,8349910000,,DP,12/5/1956
SONNY'S CUT-UP POULTRY OF N.J.,8349911000,,DP,9/29/1971
"SONNY'S CUT-UP POULTRY, INC.",8349910500,,FR,9/4/1970
SONNY'S EBONY LOUNGE,8349912000,,DP,10/10/1960
"SONNY'S EXCAVATING, INC.",100450850,BOONTON,DP,5/7/1990
"SONNY'S FARMS, INC.",8349912500,,DP,5/13/1975
SONNY'S GRANDKIDS FINE JEWELRY INC.,100698095,KERNERSVILLE,DP,3/6/1997
"SONNY'S ICE, INC.",100382829,ABSECON,DP,7/8/1988
"SONNY'S JEWELRY, INC.",100182666,MORGANVILLE,DP,12/2/1982
"SONNY'S LUNCHEONETTE, INC.",8349925000,,DP,3/1/1967
"SONNY'S MEAT CENTER, INC.",8349926500,,DP,11/6/1967
SONNY'S PIZZERIA INC.,100024119,GREAT MEADOWS,FR,8/18/1976
"SONNY'S RECYCLING, INC.",100385529,BRICK,DP,8/2/1988
"SONNY'S SEAFOOD MARKET, INC.",100626448,SECAUCUS,DP,5/10/1995
SONNY'S SOUTHERN CUISINE INC.,100815985,ASBURY PARK,DP,5/5/2000
"SONNY'S SOUTHERN CUISINE, INC.",100356952,NEWTON,DP,11/23/1987
"SONNY'S SUBMARINA, INC.",100091155,,DP,6/28/1979
"SONNY'S SWEAT SHOP, INC.",100650854,JERSEY CITY,DP,1/10/1996
"SONNY'S T. AUTOMOTIVE, INC.",100194257,,DP,4/22/1983
"SONNY'S TRASH REMOVAL SERVICE, INC.",100103618,,DP,12/26/1979
SONNY'S UNLIMITED HOLDING CORP.,100005410,,DP,10/10/1975
"SONNY'S VIDEO MAGIC, INC.",100435958,ELBERON,DP,12/13/1989
SONNY'S WACKY WIENER SHACK INC.,100521010,,DP,6/18/1992
SONNY'S WORTH'S TAVERN,8349960000,JERSEY CITY,DP,2/22/1971
"SONNY'S, INC.",100585542,TRENTON,DP,4/21/1994
"SONNY'S, INC.",8349915000,,DP,4/11/1950
"SONNY-BABE, INC.",100219320,WOODBRIDGE,DP,2/27/1984
"SONNY-BOY FREIGHT MOVERS, INC.",100121186,HIGHLANDS,DP,9/8/1980
SONNY-EUE TRANSPORTATION CORP.,100163073,,DP,3/15/1982
"SONNY-JO, INC.",100531623,PERTH AMBOY,DP,10/14/1992
"SONNY-SY, INC.",100000730,,DP,7/15/1975
"SONNYLOU CONNECTIONS, INC.",100362730,CLARK,DP,1/26/1988
SONNYS & RICKEYS CORP,8349933000,,DP,10/27/1967
"SONO FILM PRODUCTIONS USA, INC.",100397616,,DP,12/1/1988
"SONO GROUP, INC.",100664085,MIDDLETOWN,DP,5/1/1996
"SONO TAXI, INC.",100530055,,DP,9/24/1992
SONO-DEK CORP.,8350005000,,DP,3/5/1969
"SONO-DIAGNOSTICS, INC.",100120284,FAIRFIELD,DP,8/22/1980
"SONO-IMAGING, INC.",100209503,,DP,10/27/1983
SONO-TECH SERVICES CORP.,100325983,,DP,2/4/1987
"SONO-TEK CLEANING SYSTEMS, INC.",100183373,MILTON,DP,12/14/1982
"SONOCARE, INC.",100219924,UPPER SADDLE RI,FR,3/2/1984
