code,area,employment_size,firms_num,establishments_num,employment_num
00,United States,01:  Total,5954684,7757807,126752238
,,02:  0-4,3665182,3671901,5923452
,,03:  5-9,1013878,1025690,6681968
,,04:  10-19,626900,657781,8432521
,,05:  <20,5305960,5355372,21037941
,,06:  20-99,538283,705460,21093550
,,07:  100-499,90742,367446,17783726
,,08:  <500,5934985,6428278,59915217
,,09:  500+,19699,1329529,66837021
01,Alabama,01:  Total,73976,99584,1673249
,,02:  0-4,39880,39961,71782
,,03:  5-9,13721,13871,90193
,,04:  10-19,8281,8709,110654
,,05:  <20,61882,62541,272629
,,06:  20-99,7539,10200,278558
,,07:  100-499,2017,5402,238238
,,08:  <500,71438,78143,789425
,,09:  500+,2538,21441,883824
02,Alaska,01:  Total,17059,21077,266072
,,02:  0-4,10175,10211,14954
,,03:  5-9,2908,2947,19052
,,04:  10-19,1753,1872,23195
,,05:  <20,14836,15030,57201
,,06:  20-99,1233,1759,43028
,,07:  100-499,339,1154,40918
,,08:  <500,16408,17943,141147
,,09:  500+,651,3134,124925
04,Arizona,01:  Total,106963,139134,2379409
,,02:  0-4,63733,63803,96811
,,03:  5-9,16648,16794,110022
,,04:  10-19,10651,11043,142411
,,05:  <20,91032,91640,349244
,,06:  20-99,9986,12184,373662
,,07:  100-499,2662,6743,316322
,,08:  <500,103680,110567,1039228
,,09:  500+,3283,28567,1340181
05,Arkansas,01:  Total,50511,65611,1023854
,,02:  0-4,28515,28555,47733
,,03:  5-9,8913,8971,58461
,,04:  10-19,5291,5575,69998
,,05:  <20,42719,43101,176192
,,06:  20-99,4766,6470,176319
,,07:  100-499,1195,3697,137986
,,08:  <500,48680,53268,490497
,,09:  500+,1831,12343,533357
06,California,01:  Total,751982,922477,14600349
,,02:  0-4,465078,465846,731400
,,03:  5-9,124595,125830,819252
,,04:  10-19,76973,80213,1028048
,,05:  <20,666646,671889,2578700
,,06:  20-99,65829,81348,2509428
,,07:  100-499,13316,38031,2041076
,,08:  <500,745791,791268,7129204
,,09:  500+,6191,131209,7471145
08,Colorado,01:  Total,136351,165264,2318190
,,02:  0-4,86746,86834,127021
,,03:  5-9,19815,19958,130501
,,04:  10-19,12532,12918,166640
,,05:  <20,119093,119710,424162
,,06:  20-99,11133,13318,402236
,,07:  100-499,2778,6222,290804
,,08:  <500,133004,139250,1117202
,,09:  500+,3347,26014,1200988
09,Connecticut,01:  Total,71526,89416,1533879
,,02:  0-4,39493,39563,67899
,,03:  5-9,12898,13030,84913
,,04:  10-19,7846,8127,104726
,,05:  <20,60237,60720,257538
,,06:  20-99,7114,8415,260368
,,07:  100-499,1900,4533,232551
,,08:  <500,69251,73668,750457
,,09:  500+,2275,15748,783422
10,Delaware,01:  Total,20390,25366,400069
,,02:  0-4,11281,11310,17696
,,03:  5-9,3002,3037,19768
,,04:  10-19,2052,2149,27137
,,05:  <20,16335,16496,64601
,,06:  20-99,2069,2443,71987
,,07:  100-499,596,1186,50968
,,08:  <500,19000,20125,187556
,,09:  500+,1390,5241,212513
11,District of Columbia,01:  Total,18095,23177,526879
,,02:  0-4,8335,8352,14186
,,03:  5-9,2832,2847,18573
,,04:  10-19,1951,2003,25513
,,05:  <20,13118,13202,58272
,,06:  20-99,2523,2733,89578
,,07:  100-499,1044,1559,99611
,,08:  <500,16685,17494,247461
,,09:  500+,1410,5683,279418
12,Florida,01:  Total,445126,546218,8169642
