code,area,employment_size,firms_num,establishments_num,employment_num
,,02:  0-4,304447,304788,459040
,,03:  5-9,62593,63114,409783
,,04:  10-19,36441,37577,485077
,,05:  <20,403481,405479,1353900
,,06:  20-99,30077,36397,1127172
,,07:  100-499,6807,17566,916859
,,08:  <500,440365,459442,3397931
,,09:  500+,4761,86776,4771711
13,Georgia,01:  Total,177410,228330,3804433
,,02:  0-4,108426,108604,170082
,,03:  5-9,27528,27792,180873
,,04:  10-19,17013,17583,227000
,,05:  <20,152967,153979,577955
,,06:  20-99,15948,19277,586286
,,07:  100-499,4248,9858,473651
,,08:  <500,173163,183114,1637892
,,09:  500+,4247,45216,2166541
15,Hawaii,01:  Total,25331,32350,528415
,,02:  0-4,13928,13969,23884
,,03:  5-9,4488,4546,29457
,,04:  10-19,2683,2822,35979
,,05:  <20,21099,21337,89320
,,06:  20-99,2563,3502,97652
,,07:  100-499,670,1988,88143
,,08:  <500,24332,26827,275115
,,09:  500+,999,5523,253300
16,Idaho,01:  Total,38436,45826,562282
,,02:  0-4,23165,23190,35791
,,03:  5-9,6192,6230,40948
,,04:  10-19,3872,4039,51057
,,05:  <20,33229,33459,127796
,,06:  20-99,3036,4029,106706
,,07:  100-499,804,2150,81251
,,08:  <500,37069,39638,315753
,,09:  500+,1367,6188,246529
17,Illinois,01:  Total,256603,319605,5513071
,,02:  0-4,157789,157980,242278
,,03:  5-9,39572,39991,259664
,,04:  10-19,24781,25822,330796
,,05:  <20,222142,223793,832738
,,06:  20-99,23532,28992,882269
,,07:  100-499,6163,14904,770850
,,08:  <500,251837,267689,2485857
,,09:  500+,4766,51916,3027214
18,Indiana,01:  Total,108658,146078,2720277
,,02:  0-4,58926,59006,100678
,,03:  5-9,19362,19572,127492
,,04:  10-19,12557,13148,168685
,,05:  <20,90845,91726,396855
,,06:  20-99,11520,14748,433544
,,07:  100-499,3064,8716,391973
,,08:  <500,105429,115190,1222372
,,09:  500+,3229,30888,1497905
19,Iowa,01:  Total,62639,81563,1354487
,,02:  0-4,35697,35768,59465
,,03:  5-9,10654,10812,69999
,,04:  10-19,6773,7207,90263
,,05:  <20,53124,53787,219727
,,06:  20-99,5933,8558,221076
,,07:  100-499,1633,5714,210832
,,08:  <500,60690,68059,651635
,,09:  500+,1949,13504,702852
20,Kansas,01:  Total,58246,74884,1184710
,,02:  0-4,32712,32776,55481
,,03:  5-9,9948,10065,65519
,,04:  10-19,6138,6439,81692
,,05:  <20,48798,49280,202692
,,06:  20-99,5606,7553,206357
,,07:  100-499,1639,4598,195166
,,08:  <500,56043,61431,604215
,,09:  500+,2203,13453,580495
21,Kentucky,01:  Total,68726,92000,1603173
,,02:  0-4,38245,38307,65886
,,03:  5-9,11992,12093,78895
,,04:  10-19,7349,7710,98216
,,05:  <20,57586,58110,242997
,,06:  20-99,6762,8860,247913
,,07:  100-499,1859,5204,211144
,,08:  <500,66207,72174,702054
,,09:  500+,2519,19826,901119
22,Louisiana,01:  Total,81020,105732,1709226
,,02:  0-4,43682,43766,75725
,,03:  5-9,14853,15036,97838
,,04:  10-19,9230,9701,123604
,,05:  <20,67765,68503,297167
,,06:  20-99,8812,11283,334313
,,07:  100-499,2128,6132,271278
,,08:  <500,78705,85918,902758
,,09:  500+,2315,19814,806468
23,Maine,01:  Total,33927,41178,511936
,,02:  0-4,20896,20924,32366
,,03:  5-9,5378,5433,35339
,,04:  10-19,3281,3432,43938
,,05:  <20,29555,29789,111643
,,06:  20-99,2605,3633,95775
,,07:  100-499,637,2253,81738
,,08:  <500,32797,35675,289156
,,09:  500+,1130,5503,222780
24,Maryland,01:  Total,109507,138480,2282725
,,02:  0-4,62432,62509,102745
,,03:  5-9,18327,18479,120697
,,04:  10-19,11805,12204,158148
,,05:  <20,92564,93192,381590
,,06:  20-99,11214,13460,418452
,,07:  100-499,2806,6712,343149
,,08:  <500,106584,113364,1143191
,,09:  500+,2923,25116,1139534
25,Massachusetts,01:  Total,143042,177631,3254781
,,02:  0-4,82725,82872,136691
,,03:  5-9,24713,24944,162125
,,04:  10-19,14992,15554,200169
,,05:  <20,122430,123370,498985
,,06:  20-99,13743,16343,517486
,,07:  100-499,3555,8573,473945
,,08:  <500,139728,148286,1490416
,,09:  500+,3314,29345,1764365
26,Michigan,01:  Total,173416,220412,3805578
,,02:  0-4,98315,98459,163100
,,03:  5-9,30932,31226,204837
,,04:  10-19,19628,20519,263529
,,05:  <20,148875,150204,631466
,,06:  20-99,17290,22069,657136
,,07:  100-499,3962,11381,580283
,,08:  <500,170127,183654,1868885
,,09:  500+,3289,36758,1936693
27,Minnesota,01:  Total,119039,150115,2661627
,,02:  0-4,70717,70781,107054
,,03:  5-9,18498,18682,121848
,,04:  10-19,12150,12674,163742
,,05:  <20,101365,102137,392644
,,06:  20-99,11859,15099,453476
,,07:  100-499,2960,8526,408838
,,08:  <500,116184,125762,1254958
,,09:  500+,2855,24353,1406669
28,Mississippi,01:  Total,44414,58850,939322
,,02:  0-4,24028,24082,42961
,,03:  5-9,8299,8420,54291
,,04:  10-19,4918,5221,65083
,,05:  <20,37245,37723,162335
,,06:  20-99,4219,5578,153145
,,07:  100-499,1136,3390,124919
,,08:  <500,42600,46691,440399
,,09:  500+,1814,12159,498923
29,Missouri,01:  Total,126038,160912,2494720
,,02:  0-4,78550,78650,121512
,,03:  5-9,18631,18817,122940
,,04:  10-19,11719,12287,156267
,,05:  <20,108900,109754,400719
,,06:  20-99,11329,14813,427843
,,07:  100-499,2745,7836,340163
,,08:  <500,122974,132403,1168725
,,09:  500+,3064,28509,1325995
30,Montana,01:  Total,32450,37626,378463
,,02:  0-4,20338,20357,30832
,,03:  5-9,5362,5405,35290
,,04:  10-19,3084,3233,41093
,,05:  <20,28784,28995,107215
,,06:  20-99,2257,3028,80094
,,07:  100-499,516,1548,58102
,,08:  <500,31557,33571,245411
,,09:  500+,893,4055,133052
31,Nebraska,01:  Total,43409,54265,884450
,,02:  0-4,25352,25390,41276
,,03:  5-9,7025,7111,46091
,,04:  10-19,4446,4676,59028
,,05:  <20,36823,37177,146395
,,06:  20-99,3974,5432,145454
,,07:  100-499,1037,3226,120442
,,08:  <500,41834,45835,412291
,,09:  500+,1575,8430,472159
32,Nevada,01:  Total,51591,64815,1165298
,,02:  0-4,29500,29525,44621
,,03:  5-9,8079,8154,53160
,,04:  10-19,5328,5530,70825
,,05:  <20,42907,43209,168606
,,06:  20-99,4806,5756,169349
,,07:  100-499,1580,3430,149452
,,08:  <500,49293,52395,487407
,,09:  500+,2298,12420,677891
33,New Hampshire,01:  Total,30627,37868,594243
,,02:  0-4,16732,16761,28527
,,03:  5-9,5382,5423,35662
,,04:  10-19,3331,3436,44174
,,05:  <20,25445,25620,108363
,,06:  20-99,3038,3679,108656
,,07:  100-499,774,1963,78876
,,08:  <500,29257,31262,295895
,,09:  500+,1370,6606,298348
34,New Jersey,01:  Total,194218,231974,3636293
,,02:  0-4,118233,118374,198156
,,03:  5-9,32213,32443,211098
,,04:  10-19,19162,19699,255098
,,05:  <20,169608,170516,664352
,,06:  20-99,17189,19557,638671
,,07:  100-499,4013,8392,507084
,,08:  <500,190810,198465,1810107
,,09:  500+,3408,33509,1826186
35,New Mexico,01:  Total,34372,43771,628723
,,02:  0-4,18814,18844,32003
,,03:  5-9,5798,5846,38180
,,04:  10-19,3861,4012,51475
,,05:  <20,28473,28702,121658
,,06:  20-99,3381,4305,118333
,,07:  100-499,908,2356,94954
,,08:  <500,32762,35363,334945
,,09:  500+,1610,8408,293778
36,New York,01:  Total,465139,544073,8178455
,,02:  0-4,302288,302574,487886
,,03:  5-9,71719,72170,469649
,,04:  10-19,42192,43426,563813
,,05:  <20,416199,418170,1521348
,,06:  20-99,36325,42466,1367699
,,07:  100-499,7901,19149,1217039
,,08:  <500,460425,479785,4106086
,,09:  500+,4714,64288,4072369
37,North Carolina,01:  Total,174314,227347,3794926
,,02:  0-4,102859,103044,166115
,,03:  5-9,29230,29507,192500
,,04:  10-19,18150,18995,242837
,,05:  <20,150239,151546,601452
,,06:  20-99,16530,21139,610829
,,07:  100-499,3771,10625,459769
,,08:  <500,170540,183310,1672050
,,09:  500+,3774,44037,2122876
38,North Dakota,01:  Total,19979,24601,346947
,,02:  0-4,11040,11056,17979
,,03:  5-9,3295,3328,21541
,,04:  10-19,2221,2356,29723
,,05:  <20,16556,16740,69243
,,06:  20-99,1951,2678,68992
,,07:  100-499,571,1566,60729
,,08:  <500,19078,20984,198964
,,09:  500+,901,3617,147983
39,Ohio,01:  Total,184738,252201,4790178
,,02:  0-4,98170,98372,170515
,,03:  5-9,34184,34579,226349
,,04:  10-19,22454,23623,300855
,,05:  <20,154808,156574,697719
,,06:  20-99,20764,26725,787823
,,07:  100-499,5049,14957,707378
,,08:  <500,180621,198256,2192920
,,09:  500+,4117,53945,2597258
40,Oklahoma,01:  Total,72661,93232,1360379
,,02:  0-4,42267,42361,70464
,,03:  5-9,12356,12475,81357
,,04:  10-19,7300,7690,96783
,,05:  <20,61923,62526,248604
,,06:  20-99,6721,8853,252475
,,07:  100-499,1782,5398,211503
,,08:  <500,70426,76777,712582
,,09:  500+,2235,16455,647797
41,Oregon,01:  Total,93640,114551,1551192
,,02:  0-4,54952,55014,89530
,,03:  5-9,16202,16371,106699
,,04:  10-19,10134,10583,135157
,,05:  <20,81288,81968,331386
,,06:  20-99,8088,10448,291694
,,07:  100-499,1946,6338,229903
,,08:  <500,91322,98754,852983
,,09:  500+,2318,15797,698209
42,Pennsylvania,01:  Total,230357,301484,5354964
,,02:  0-4,129972,130167,226472
,,03:  5-9,41333,41781,272090
,,04:  10-19,25976,27120,348279
,,05:  <20,197281,199068,846841
,,06:  20-99,23348,29646,889633
,,07:  100-499,5453,15650,761050
,,08:  <500,226082,244364,2497524
,,09:  500+,4275,57120,2857440
44,Rhode Island,01:  Total,24259,28685,435148
,,02:  0-4,13887,13899,22901
,,03:  5-9,3936,3975,26114
,,04:  10-19,2467,2533,32908
,,05:  <20,20290,20407,81923
,,06:  20-99,2249,2607,81463
,,07:  100-499,596,1339,66588
,,08:  <500,23135,24353,229974
,,09:  500+,1124,4332,205174
45,South Carolina,01:  Total,80934,105959,1716496
,,02:  0-4,45967,46043,77697
,,03:  5-9,13802,13972,90907
,,04:  10-19,8770,9139,117027
,,05:  <20,68539,69154,285631
,,06:  20-99,7716,9538,282554
,,07:  100-499,2037,5203,226526
,,08:  <500,78292,83895,794711
,,09:  500+,2642,22064,921785
46,South Dakota,01:  Total,22205,26743,357950
,,02:  0-4,12712,12732,20824
,,03:  5-9,3762,3800,24671
,,04:  10-19,2334,2441,30783
,,05:  <20,18808,18973,76278
,,06:  20-99,1953,2680,70101
,,07:  100-499,567,1836,64155
,,08:  <500,21328,23489,210534
,,09:  500+,877,3254,147416
47,Tennessee,01:  Total,98089,135352,2592600
,,02:  0-4,51876,51966,92136
,,03:  5-9,18036,18265,118852
,,04:  10-19,11235,11809,150141
,,05:  <20,81147,82040,361129
,,06:  20-99,10661,13740,394165
,,07:  100-499,2906,7624,340951
,,08:  <500,94714,103404,1096245
,,09:  500+,3375,31948,1496355
48,Texas,01:  Total,434145,579168,10429924
,,02:  0-4,249965,250453,416598
,,03:  5-9,75515,76350,497608
,,04:  10-19,48139,50217,644532
,,05:  <20,373619,377020,1558738
,,06:  20-99,44293,55216,1682345
,,07:  100-499,10265,29428,1465781
,,08:  <500,428177,461664,4706864
,,09:  500+,5968,117504,5723060
49,Utah,01:  Total,64524,77504,1239348
,,02:  0-4,39901,39954,56516
,,03:  5-9,9312,9384,61426
,,04:  10-19,6287,6473,83885
,,05:  <20,55500,55811,201827
,,06:  20-99,5528,6801,206813
,,07:  100-499,1392,3190,164248
,,08:  <500,62420,65802,572888
,,09:  500+,2104,11702,666460
50,Vermont,01:  Total,18148,21174,262705
,,02:  0-4,10616,10627,17563
,,03:  5-9,3039,3070,20086
,,04:  10-19,1863,1945,24628
,,05:  <20,15518,15642,62277
,,06:  20-99,1510,1998,54202
,,07:  100-499,360,1056,44601
,,08:  <500,17388,18696,161080
,,09:  500+,760,2478,101625
51,Virginia,01:  Total,152020,199548,3254172
,,02:  0-4,87944,88061,144582
,,03:  5-9,25499,25777,167812
,,04:  10-19,16465,17155,219572
,,05:  <20,129908,130993,531966
,,06:  20-99,14906,18369,549936
,,07:  100-499,3663,9421,453234
,,08:  <500,148477,158783,1535136
,,09:  500+,3543,40765,1719036
53,Washington,01:  Total,152430,186164,2685355
,,02:  0-4,91360,91482,144212
,,03:  5-9,26071,26295,171104
,,04:  10-19,15883,16498,210707
,,05:  <20,133314,134275,526023
,,06:  20-99,12884,16080,468702
,,07:  100-499,3168,8392,384833
,,08:  <500,149366,158747,1379558
,,09:  500+,3064,27417,1305797
54,West Virginia,01:  Total,27038,36607,558905
,,02:  0-4,14092,14115,25551
,,03:  5-9,5174,5227,33800
,,04:  10-19,3141,3329,41396
,,05:  <20,22407,22671,100747
,,06:  20-99,2591,3695,94867
,,07:  100-499,741,2153,79531
,,08:  <500,25739,28519,275145
,,09:  500+,1299,8088,283760
55,Wisconsin,01:  Total,108799,140859,2524329
,,02:  0-4,58973,59078,99144
,,03:  5-9,19278,19460,127053
,,04:  10-19,12884,13500,173364
,,05:  <20,91135,92038,399561
,,06:  20-99,12143,16151,463807
,,07:  100-499,2802,8238,395561
,,08:  <500,106080,116427,1258929
,,09:  500+,2719,24432,1265400
56,Wyoming,01:  Total,17950,20966,208440
,,02:  0-4,10773,10786,17131
,,03:  5-9,2963,2985,19589
,,04:  10-19,1729,1815,22871
,,05:  <20,15465,15586,59591
,,06:  20-99,1307,1809,43128
,,07:  100-499,386,940,28780
,,08:  <500,17158,18335,131499
,,09:  500+,792,2631,76941
